time_s,project,scenario,base_hash,object_type,object_id,signal,value,unit,stage,iter,note
0.0,3S2T,application,hash,Train,Train2,mot_W,0.0,W,TA,,
0.0,3S2T,application,hash,Train,Train2,brk_W,0.0,W,TA,,
0.0,3S2T,application,hash,Train,Train2,aux_W,0.0,W,TA,,
0.0,3S2T,application,hash,Train,Train2,pos_m,0.0,m,TA,,
0.0,3S2T,application,hash,Train,Train2,speed_mps,0.0,m/s,TA,,
0.0,3S2T,application,hash,Train,Train1,mot_W,0.0,W,TA,,
0.0,3S2T,application,hash,Train,Train1,brk_W,0.0,W,TA,,
0.0,3S2T,application,hash,Train,Train1,aux_W,0.0,W,TA,,
0.0,3S2T,application,hash,Train,Train1,pos_m,100.0,m,TA,,
0.0,3S2T,application,hash,Train,Train1,speed_mps,0.0,m/s,TA,,
0.0,3S2T,application,hash,Train,Train1,brk_prof_kW,0.0,kW,GMA-prof,,
0.0,3S2T,application,hash,Train,Train1,req_trac_W,0.0,W,GMA-A,,
0.0,3S2T,application,hash,Train,Train1,alpha_derate,0.0,,SOLVER,0,
0.0,3S2T,application,hash,Train,Train1,V_node_V,0.0,V,SOLVER,0,
0.0,3S2T,application,hash,Train,Train1,alpha_derate,1.0,,SOLVER,1,
0.0,3S2T,application,hash,Train,Train1,V_node_V,899.9999999999999,V,SOLVER,1,
0.0,3S2T,application,hash,Node,S1,V_V,900.0,V,NET,,
0.0,3S2T,application,hash,Node,S1,I_A,-9000.0,A,NET,,
0.0,3S2T,application,hash,Node,S1,P_W,-8100000.0,W,NET,,
0.0,3S2T,application,hash,Node,S2,V_V,900.0000000000001,V,NET,,
0.0,3S2T,application,hash,Node,S2,I_A,-9000.0,A,NET,,
0.0,3S2T,application,hash,Node,S2,P_W,-8100000.000000001,W,NET,,
0.0,3S2T,application,hash,Node,S3,V_V,900.0,V,NET,,
0.0,3S2T,application,hash,Node,S3,I_A,-9000.0,A,NET,,
0.0,3S2T,application,hash,Node,S3,P_W,-8100000.0,W,NET,,
0.0,3S2T,application,hash,Sub,SS0,V_V,900.0,V,NET,,
0.0,3S2T,application,hash,Sub,SS0,I_A,0.0,A,NET,,
0.0,3S2T,application,hash,Sub,SS0,P_net_W,0.0,W,NET,,
0.0,3S2T,application,hash,Sub,SS0,P_loss_W,0.0,W,NET,,
0.0,3S2T,application,hash,Sub,SS1,V_V,900.0000000000001,V,NET,,
0.0,3S2T,application,hash,Sub,SS1,I_A,-1.1368683772161603E-12,A,NET,,
0.0,3S2T,application,hash,Sub,SS1,P_net_W,-1.0231815394945445E-9,W,NET,,
0.0,3S2T,application,hash,Sub,SS1,P_loss_W,1.2924697071141057E-25,W,NET,,
