time_s,train_id,position_m,P_req_W
0.0,Train1,0.0,20000.0
1.0,Train1,0.5714285714285714,20000.0
2.0,Train1,1.3424657534246576,153161.6
3.0,Train1,2.928571428571428,640819.8
4.0,Train1,5.216216216216216,909306.7
5.0,Train1,8.133333333333335,1110818.5
6.0,Train1,11.730769230769234,1294257.3000000003
7.0,Train1,15.954545454545462,1482297.0999999999
8.0,Train1,20.842105263157908,1661212.4000000001
9.0,Train1,26.35294117647061,1830642.3000000003
10.0,Train1,32.53333333333335,1993012.0
11.0,Train1,39.35714285714289,2148231.7
12.0,Train1,46.84615384615388,2302805.6
13.0,Train1,55.00000000000004,2474424.4000000004
14.0,Train1,63.727272727272776,2646983.3
15.0,Train1,73.20000000000006,2817382.2000000007
16.0,Train1,83.22222222222227,2985047.7
17.0,Train1,94.00000000000007,3149752.3000000003
18.0,Train1,105.33333333333344,3311007.3000000007
19.0,Train1,117.37500000000009,3469506.7
20.0,Train1,130.00000000000009,3624670.1999999997
21.0,Train1,143.28571428571436,3776539.9
22.0,Train1,157.2857142857144,3925361.3
23.0,Train1,171.85714285714295,4070746.000000001
24.0,Train1,187.16666666666683,4212864.100000001
25.0,Train1,203.0000000000001,4355990.3
26.0,Train1,219.66666666666683,4500850.399999999
27.0,Train1,236.83333333333348,4561520.699999999
28.0,Train1,254.66666666666683,4591178.100000001
29.0,Train1,273.16666666666686,4612270.4
30.0,Train1,292.2000000000003,4625515.900000001
31.0,Train1,311.8000000000002,4631521.000000001
32.0,Train1,332.0000000000002,4630883.0
33.0,Train1,352.8000000000003,4624138.5
34.0,Train1,374.2000000000003,4611810.4
35.0,Train1,396.0000000000003,3753446.9000000097
36.0,Train1,418.2500000000003,149650.0
37.0,Train1,440.6000000000003,149650.0
38.0,Train1,462.80000000000035,149649.99999999997
39.0,Train1,485.00000000000045,149650.0
40.0,Train1,507.2500000000003,149650.0
41.0,Train1,529.5000000000003,149650.00000000003
42.0,Train1,551.8000000000004,149649.99999999997
43.0,Train1,574.0000000000005,149650.0
44.0,Train1,596.2500000000005,149650.0
45.0,Train1,618.5000000000005,149650.0
46.0,Train1,640.7500000000005,149650.00000000003
47.0,Train1,663.0000000000003,149650.0
48.0,Train1,685.2500000000005,149650.0
49.0,Train1,707.5000000000006,149650.0
50.0,Train1,729.7500000000006,-1819860.200000008
51.0,Train1,751.8000000000006,-2905786.499999999
52.0,Train1,773.4000000000007,-2815517.5000000005
53.0,Train1,794.6000000000006,-2725619.200000001
54.0,Train1,815.0000000000006,-2636429.4
55.0,Train1,835.0000000000008,-2548138.1000000006
56.0,Train1,854.5000000000007,-2460718.1
57.0,Train1,873.4000000000008,-2374047.9000000004
58.0,Train1,891.8000000000008,-2288181.0999999996
59.0,Train1,909.6666666666673,-2203217.8000000003
60.0,Train1,927.0000000000008,-2118133.8
61.0,Train1,943.6666666666673,-2033425.1
62.0,Train1,960.0000000000009,-1950928.7
63.0,Train1,975.6666666666674,-1870627.1000000003
64.0,Train1,990.7142857142866,-1791880.2
65.0,Train1,1005.4285714285714,-1713798.1000000003
66.0,Train1,1019.4285714285699,-1637597.5
67.0,Train1,1032.999999999997,-1562940.9
68.0,Train1,1045.9999999999957,-1489877.6
69.0,Train1,1058.499999999994,-1418068.7
70.0,Train1,1070.374999999993,-1347582.8
71.0,Train1,1081.7777777777694,-1278383.2
72.0,Train1,1092.6666666666572,-1210377.7999999998
73.0,Train1,1102.9999999999893,-1143146.0999999999
74.0,Train1,1112.727272727261,-1077063.8
75.0,Train1,1121.9999999999873,-1011632.6
76.0,Train1,1130.6666666666529,-947059.1000000001
77.0,Train1,1138.8461538461393,-870309.6000000002
78.0,Train1,1146.4999999999845,-788266.1999999996
79.0,Train1,1153.5999999999838,-708896.3999999999
80.0,Train1,1160.124999999983,-632432.6999999998
81.0,Train1,1166.1764705882179,-557716.8999999999
82.0,Train1,1171.649999999982,-487251.8999999999
83.0,Train1,1176.6190476190288,-421141.6
84.0,Train1,1181.0399999999806,-357972.7999999998
85.0,Train1,1184.925925925906,-302424.8
86.0,Train1,1188.2424242424042,-252192.89999999988
87.0,Train1,1191.0731707316868,-187713.79999999958
88.0,Train1,1193.3673469387547,-118310.9999999999
89.0,Train1,1195.2459016393234,-69783.79999999984
90.0,Train1,1196.7714285714076,-37699.7999999999
91.0,Train1,1198.0303030302819,-13415.199999999888
92.0,Train1,1199.0317460317249,3980.0
92.0,Train2,4654.657534246466,153161.599999999
93.0,Train1,1199.8253968253755,16967.00000000002
93.0,Train2,4653.071428571318,640819.799999998
94.0,Train1,1200.4406779660803,20766.40000000007
94.0,Train2,4650.783783783674,909306.6999999998
95.0,Train1,1201.0029325512983,34270.0
