time_s,project,scenario,base_hash,object_type,object_id,signal,value,unit,stage,iter,note
0.0,C1,application,C1,Train,Train2,mot_W,0.0,W,TA,,
0.0,C1,application,C1,Train,Train3,mot_W,0.0,W,TA,,
0.0,C1,application,C1,Train,Train3,brk_W,0.0,W,TA,,
0.0,C1,application,C1,Train,Train4,mot_W,0.0,W,TA,,
0.0,C1,application,C1,Train,Train4,brk_W,0.0,W,TA,,
0.0,C1,application,C1,Train,Train4,aux_W,0.0,W,TA,,
0.0,C1,application,C1,Train,Train3,aux_W,0.0,W,TA,,
0.0,C1,application,C1,Train,Train3,pos_m,0.0,m,TA,,
0.0,C1,application,C1,Train,Train1,mot_W,20000.0,W,TA,,
0.0,C1,application,C1,Train,Train1,brk_W,0.0,W,TA,,
0.0,C1,application,C1,Train,Train1,aux_W,0.0,W,TA,,
0.0,C1,application,C1,Train,Train1,pos_m,0.0,m,TA,,
0.0,C1,application,C1,Train,Train1,speed_mps,0.0,m/s,TA,,
0.0,C1,application,C1,Train,Train2,brk_W,0.0,W,TA,,
0.0,C1,application,C1,Train,Train2,aux_W,0.0,W,TA,,
0.0,C1,application,C1,Train,Train2,pos_m,0.0,m,TA,,
0.0,C1,application,C1,Train,Train2,speed_mps,0.0,m/s,TA,,
0.0,C1,application,C1,Train,Train3,speed_mps,0.0,m/s,TA,,
0.0,C1,application,C1,Train,Train4,pos_m,0.0,m,TA,,
0.0,C1,application,C1,Train,Train4,speed_mps,0.0,m/s,TA,,
0.0,C1,application,C1,Train,Train1,brk_prof_kW,0.0,kW,GMA-prof,,
0.0,C1,application,C1,Train,Train1,req_trac_W,0.0,W,GMA-A,,
0.0,C1,application,C1,Train,Train1,alpha_derate,0.0,,SOLVER,0,
0.0,C1,application,C1,Train,Train1,V_node_V,0.0,V,SOLVER,0,
